,timestamp,travelling_proportion,tempC,precipMM,station_count,count_commercial,count_retail,cover_commercial,cover_retail,distance_to_recreation_ground,distance_to_park,distance_to_retail,distance_to_commercial,cycleway_connectivity,tertiary_connectivity,secondary_connectivity,tourist_attractions,demand,node_id
0,08/02/2021 05:30,0.226232532,-3.0,0.05,1,0,0,0.0,0.0,1001.84,0.0,221.87,0.0,0,0,0,0,0,0
1,08/02/2021 05:30,0.226232532,-3.0,0.05,1,0,0,0.0,0.0,820.16,221.87,0.0,0.0,0,0,0,0,0,1
2,08/02/2021 05:30,0.226232532,-3.0,0.05,2,1,0,0.001408421,0.0,0.0,0.0,505.2,0.0,0,0,0,0,0,2
3,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,0,0.0,0.0,715.23,0.0,0.0,1722.33,0,0,0,0,0,3
4,08/02/2021 05:30,0.226232532,-3.0,0.05,2,0,1,0.0,0.007797796,0.0,505.2,0.0,0.0,0,0,0,0,0,4
5,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,0,0.0,0.0,800.31,800.31,0.0,605.03,0,0,0,0,0,5
6,08/02/2021 05:30,0.226232532,-3.0,0.05,2,0,0,0.0,0.0,153.09,654.88,143.23,153.09,0,0,0,0,0,6
7,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,0,0.0,0.0,724.72,902.97,289.52,487.08,0,0,0,0,0,7
8,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,1,0.0,0.003947625,292.73,783.74,0.0,0.0,0,0,0,0,0,8
9,08/02/2021 05:30,0.226232532,-3.0,0.05,1,0,1,0.0,0.001463914,499.25,1257.72,0.0,218.94,0,0,0,0,0,9
10,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,0,0.0,0.0,0.0,0.0,0.0,1155.63,0,0,0,0,0,10
11,08/02/2021 05:30,0.226232532,-3.0,0.05,2,1,0,0.000588429,0.0,480.96,937.93,411.98,0.0,0,0,0,0,0,11
12,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,1,0.0,9.22e-05,631.25,0.0,0.0,1601.1,0,0,0,0,0,12
13,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,0,0.0,0.0,692.8,1007.75,300.49,402.02,0,0,0,0,1,13
14,08/02/2021 05:30,0.226232532,-3.0,0.05,1,0,0,0.0,0.0,1149.63,0.0,518.38,1834.63,0,0,0,0,0,14
15,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,0,0.0,0.0,549.06,891.11,443.91,0.0,0,0,0,0,0,15
16,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,1,0.0,0.000715096,1669.77,0.0,0.0,1669.77,0,0,0,0,0,16
17,08/02/2021 05:30,0.226232532,-3.0,0.05,0,0,0,0.0,0.0,0.0,560.76,992.16,549.06,0,0,0,0,0,17
18,08/02/2021 05:30,0.226232532,-3.0,0.05,0,2,0,0.001595095,0.0,180.58,180.58,433.95,0.0,0,0,0,0,0,18
